"","year","couprisk"
"6","1976",0.01149712
"7","1978",0.016999828
"9","1979",0.033330426
"11","1979",0.029056497
"13","1990",0.006654937
"14","1992",0.018556176
"16","1996",0.010646207
"18","2001",0.005683677
"19","2021",0.0004100216
"21","1998",0.0032444173
"27","1991",0.0010275986
"28","1992",0.0035698977
"30","1992",0.009547581
"31","1994",0.027632233
"33","2019",0.019111115
"35","1975",0.0062064514
"36","1977",0.003652815
"61","1975",0.015206216
"62","1976",0.017085815
"64","1981",0.0022326943
"66","1982",0.008536132
"68","1987",0.0009891116
"69","1988",0.0010403516
"70","1990",0.0011528495
"71","2016",0.0026009278
"72","1992",0.019679192
"74","1992",0.02314292
"76","1994",0.0030332115
"77","1995",0.0068015517
"78","2005",0.0006661031
"79","2011",0.00032007653
"80","1975",0.0091058025
"82","1975",0.010267463
"84","1975",0.010267463
"86","1977",0.015252236
"87","1981",0.025354639
"89","1982",0.013847961
"91","1990",0.022333758
"93","1996",0.015482927
"94","2007",0.00588262
"96","2012",0.004912253
"97","2021",0.0017843815
"111","1975",0.022015573
"112","1975",0.024355765
"113","1977",0.0067731934
"144","1977",0.011531475
"145","1978",0.038499217
"147","1978",0.025530057
"148","1978",0.033090826
"150","1979",0.038588174
"151","1979",0.050562747
"154","1979",0.050562747
"157","1980",0.038643554
"159","1981",0.03858752
"160","1981",0.03858752
"161","1981",0.034653608
"162","1981",0.036816113
"164","1982",0.07147871
"166","1984",0.024724187
"167","1984",0.025081461
"168","2019",0.0030781939
"182","1989",0.0015508508
"187","1980",0.009939463
"189","1982",0.013962812
"191","1983",0.022183454
"193","1987",0.024573628
"195","1989",0.019233517
"196","2003",0.0014842398
"197","2014",0.004780807
"198","2015",0.022926332
"199","2015",0.022926332
"200","2016",0.011503111
"209","1976",0.011141686
"211","1976",0.011141686
"213","1987",0.0029097118
"215","1993",0.012157157
"217","1993",0.021708114
"220","1993",0.021708114
"223","1994",0.01666874
"225","1996",0.02032799
"227","2001",0.0134095065
"228","2001",0.017105108
"229","2006",0.007086709
"230","2015",0.005147557
"233","1975",0.013353237
"235","1977",0.0017520201
"236","1979",0.01698964
"238","1994",0.0018493045
"239","1997",0.009895467
"241","2000",0.0021291636
"242","1984",0.0050706696
"246","1976",0.002457235
"247","1979",0.011408078
"249","1981",0.0014398203
"251","1982",0.003429578
"252","2001",0.0018944298
"253","2002",0.0035426656
"254","2003",0.010284081
"256","2021",0.00074406574
"259","1975",0.01422716
"261","1975",0.01422716
"263","1977",0.009259668
"264","1982",0.003068939
"266","1989",0.0072251474
"267","1990",0.010327881
"269","1991",0.010458386
"270","1992",0.011975127
"271","2006",0.0027828466
"272","2006",0.013547098
"273","2008",0.0021372144
"274","2013",0.0017634694
"275","2021",0.0057355934
"282","1975",0.02515067
"286","1980",0.0005741338
"295","1975",0.0091121765
"297","1977",0.008330123
"298","1978",0.012862807
"300","1989",0.0067154705
"301","1992",0.018496457
"302","1995",0.020062169
"304","1995",0.020498797
"306","1999",0.010562661
"308","2000",0.015027434
"330","1977",0.00819535
"333","1978",0.003550838
"335","1979",0.007840209
"338","1979",0.007840209
"341","1997",0.007839226
"344","2005",0.0040535997
"351","1991",0.0020460554
"352","1999",0.0088978615
"354","2000",0.015523575
"355","2000",0.03033692
"357","2001",0.016729433
"358","2002",0.011745277
"359","2012",0.0019920361
"383","1987",0.0004270578
"393","1975",0.014514243
"395","1992",0.012766208
"397","1997",0.0030621942
"400","2004",0.0015678891
"402","2004",0.0015363956
"404","2013",0.0014921605
"407","1991",0.006982202
"408","1981",0.00024197306
"424","2008",0.0006036702
"441","1975",0.0076361275
"442","1976",0.034720436
"444","1986",0.004757438
"445","2000",0.007134996
"447","2005",0.0010710328
"463","2011",0.0009625309
"465","2013",0.011192759
"475","1979",0.00997429
"477","1980",0.018366024
"479","2020",0.0005732516
"481","1979",0.0065273643
"483","1986",0.00413821
"484","2004",0.0008779521
"485","2013",0.0018407165
"492","1977",0.020825705
"494","1977",0.020825705
"496","1989",0.0022861322
"497","1991",0.011804866
"500","1991",0.011804866
"503","2009",0.0012455996
"504","1987",0.0026453559
"506","1987",0.0036033287
"507","2000",0.0063130674
"509","2000",0.0014415766
"510","2006",0.0022463554
"514","2019",0.0005682208
"515","1981",0.0008322051
"516","1994",0.00898319
"518","1994",0.011689034
"519","2006",0.0053487173
"520","2014",0.0014122034
"522","1992",0.012650763
"524","1999",0.0014854579
"525","2003",0.0012161642
"527","2006",0.0006304744
"533","1989",0.0003899064
"536","1989",0.0005051541
"549","1978",0.008712582
"551","1979",0.03421811
"552","1979",0.052619487
"554","1981",0.011591636
"556","1982",0.029492367
"557","1983",0.04040706
"558","1984",0.041359134
"567","1975",0.0048991935
"568","1979",0.00045148053
"570","1983",0.007152697
"573","1983",0.007152697
"576","1983",0.007152697
"594","1982",0.0063033677
"596","1982",0.009221238
"597","1983",0.015928429
"599","1988",0.0038489446
"600","1989",0.0051293583
"601","1993",0.010800504
"605","1984",0.00398033
"607","1985",0.014885844
"608","1996",0.002699723
"609","2008",0.011777469
"611","2009",0.026396286
"613","2011",0.0038278827
"614","1980",0.01899991
"616","1985",0.011639731
"617","1998",0.0065489
"618","1999",0.022181114
"621","2000",0.017215107
"622","2001",0.018066823
"623","2003",0.01521444
"626","2005",0.026175084
"627","2008",0.009014409
"628","2008",0.0020249523
"629","2010",0.009173022
"630","2012",0.024765663
"632","2012",0.017483259
"634","1983",0.0011234732
"657","1984",0.0039407923
"658","1986",0.004049041
"660","1988",0.019822387
"662","1988",0.030508455
"664","1989",0.013857466
"665","1990",0.034617845
"667","1991",0.033176746
"668","1991",0.041309662
"670","1994",0.019078968
"672","2000",0.009030553
"673","2004",0.00304635
"683","1975",0.008747724
"685","1977",0.0038697596
"686","1978",0.012587177
"688","2009",0.0070906696
"697","1988",0.0009053418
"705","1998",0.0122204535
"707","2001",0.0019488101
"713","1979",0.0028934057
"714","1979",0.003891502
"715","1980",0.0059518036
"716","1980",0.003962622
"717","1980",0.0035746736
"718","1981",0.0024555204
"719","1982",0.0006225538
"736","1979",0.0068745194
"738","1995",0.0055072936
"739","1995",0.0069468874
"740","1995",0.005026458
"741","1996",0.007793141
"743","1993",0.00059865287
"744","1980",0.0010015506
"749","2021",0.0005145272
"752","1982",0.0007809049
"753","2005",0.0009654403
"754","2010",0.0008077115
"770","1975",0.0072825933
"771","1975",0.0054663518
"773","2007",0.0023310366
"776","1976",0.007385284
"779","1986",0.0071613607
"781","1990",0.005262061
"782","1990",0.0048540793
"783","1991",0.0085979495
"784","1994",0.014367188
"786","1996",0.015950507
"787","2009",0.0038617617
"788","2014",0.0011350119
"790","1980",0.011162954
"791","1980",0.010155844
"793","1984",0.0061292965
"794","1985",0.021924041
"795","1985",0.010011458
"796","1986",0.0067985607
"797","1988",0.006709993
"798","1990",0.011132678
"799","1990",0.015613263
"800","1994",0.019950321
"801","1994",0.019950321
"802","2003",0.011674535
"806","1975",0.006721063
"807","1975",0.006721063
"808","1986",0.00075697363
"809","1993",0.001101309
"810","2011",0.004254923
"811","2013",0.001146221
"812","2014",0.0016526382
"813","2016",0.0010222754
"819","1975",0.009708135
"822","1982",0.005273111
"823","1989",0.0016312773
"824","1990",0.0019269951
"825","2006",0.0013869395
"826","2009",0.0019471155
"828","2010",0.0014098098
"829","2001",0.002016666
"832","1985",0.0003574949
"833","1980",0.0008546263
"834","1983",0.00077528984
"835","1988",0.003283343
"836","2012",0.003557223
"842","1978",0.008149441
"843","1991",0.024585234
"845","1991",0.021710798
"846","1993",0.01631957
"847","1996",0.012602927
"848","2012",0.0077883406
"850","2012",0.021075072
"851","2020",0.008734299
"853","2021",0.010415667
"856","1978",0.0016472496
"858","1979",0.015063954
"860","1980",0.011311879
"862","1981",0.012891969
"863","1982",0.0022910126
"864","1984",0.004311531
"866","1987",0.01490463
"867","2003",0.0020220508
"868","2004",0.005360663
"869","2004",0.0052949586
"870","2005",0.0086476635
"872","2008",0.012280042
"875","1984",0.00046510337
"877","1990",0.0029522628
"879","2016",0.0005871324
"883","1975",0.003302162
"884","1991",0.0023393922
"889","1988",0.013361095
"891","1988",0.009806547
"893","1992",0.014124731
"895","2002",0.0013425668
"896","2021",0.003537992
"899","2002",0.006712749
"901","2005",0.0013803615
"906","1978",0.0012534687
"907","1979",0.00504757
"909","1980",0.0071964385
"912","1975",0.021700636
"913","1976",0.009129312
"914","1983",0.005510708
"915","1996",0.010593253
"917","1998",0.009726638
"918","1999",0.0041736104
"920","2010",0.007035102
"922","2015",0.00910097
"923","2021",0.0024680833
"929","1975",0.0081231
"931","1976",0.027842818
"933","1983",0.015931377
"935","1985",0.017630845
"937","1985",0.019890118
"938","1990",0.00797868
"939","1993",0.007773476
"941","1993",0.018744592
"943","1995",0.0024927447
"944","1997",0.012385268
"945","2004",0.0037994906
"947","2005",0.00029264897
"957","1977",0.0048930985
"959","1984",0.009746939
"960","1999",0.011164876
"972","1982",0.0033138536
"974","1982",0.0030786714
"975","1983",0.001213427
"976","1988",0.0042814394
"977","1989",0.0008703478
"978","1989",0.010331531
"979","1990",0.0027235788
"980","1990",0.0025650456
"981","1991",0.001956754
"982","1995",0.0010741982
"983","1990",0.0057676635
"984","2012",0.0008400487
"997","1989",0.006081251
"999","1996",0.001381324
"1000","2000",0.00094093394
"1011","1975",0.014034683
"1013","1976",0.0053912443
"1014","1992",0.006119786
"1015","2000",0.0008253595
"1018","1986",0.010834439
"1020","1986",0.0070804325
"1021","1986",0.006863858
"1022","1987",0.0031938662
"1023","1987",0.015443154
"1024","1989",0.012527418
"1025","1990",0.022112554
"1026","1990",0.015889557
"1027","2001",0.004516475
"1029","2001",0.0011633746
"1030","2003",0.001450569
"1031","2006",0.0007716941
"1032","2007",0.00079815445
"1033","1980",0.00032225918
"1035","1981",0.00035071332
"1046","1975",0.024248157
"1047","1975",0.024387635
"1048","1975",0.023391748
"1051","1995",0.0050835516
"1053","1996",0.0041895006
"1061","1979",0.008983874
"1062","1980",0.00079171604
"1063","1980",0.00079171604
"1064","1990",0.0027717934
"1084","1975",0.0029862523
"1087","1975",0.0029862523
"1091","1989",0.00873507
"1093","1991",0.016793609
"1095","1993",0.0008431259
"1096","1993",0.0008431259
"1099","1980",0.008872059
"1100","1994",0.01176591
"1102","1995",0.004966129
"1103","2003",0.007457318
"1107","2020",0.0013360273
"1109","1999",0.00068199873
"1110","1977",0.0017409616
"1112","1979",0.0065507856
"1113","1981",0.002429745
"1122","1987",0.002899193
"1123","1992",0.023530355
"1124","1992",0.033007953
"1125","1993",0.020463701
"1126","1995",0.010029846
"1127","1996",0.043719392
"1129","1996",0.04509178
"1130","1997",0.016659155
"1132","1998",0.039455455
"1138","1978",0.0103264125
"1139","1991",0.010145663
"1140","2013",0.0016939355
"1141","1978",0.00027407924
"1142","1980",0.0008291374
"1143","1981",0.006342956
"1145","1982",0.0012395497
"1148","2015",0.00073788635
"1150","2018",0.00082194223
"1167","1975",0.009652612
"1168","1976",0.0066628573
"1169","1977",0.015985092
"1170","1981",0.011224273
"1171","1985",0.013433805
"1173","1985",0.018976001
"1174","1989",0.020577695
"1176","1990",0.024940725
"1177","1990",0.02568206
"1178","1990",0.018029565
"1179","1991",0.014373734
"1180","1992",0.0033437957
"1181","1996",0.01469497
"1182","2004",0.004413596
"1183","2012",0.0019395184
"1184","2019",0.008001071
"1189","1980",0.00648112
"1191","1980",0.008099801
"1192","1980",0.0025228509
"1193","1981",0.0013825414
"1194","1982",0.0054202653
"1195","1982",0.0011002552
"1196","1983",0.0021597736
"1197","1983",0.0061966036
"1198","1986",0.0016428398
"1199","1990",0.014228858
"1201","1983",0.0021526488
"1203","1983",0.010057651
"1204","1984",0.009955917
"1233","1982",0.00059275405
"1234","1987",0.0005328654
"1235","1991",0.0038103743
"1237","1992",0.008746684
"1239","1992",0.0037637982
"1240","1992",0.00917878
"1242","1997",0.0016406033
"1245","1983",0.0034381512
"1259","1976",0.008365398
"1262","1977",0.01398787
"1263","1977",0.017781675
"1265","1981",0.0040231026
"1266","1984",0.0059770662
"1267","1985",0.0017078292
"1268","1991",0.0026817615
"1269","2006",0.0069686496
"1271","2014",0.011284921
"1285","1986",0.009483021
"1286","1991",0.0082154805
"1287","1991",0.009041037
"1288","1991",0.009041037
"1289","1991",0.011849025
"1290","1991",0.013539768
"1291","2005",0.006356125
"1295","1990",0.00096023007
"1299","1987",0.00048143876
"1301","1991",0.00064621284
"1302","2019",0.0015149706
"1303","2021",0.00066574686
"1310","1980",0.0069636647
"1312","1997",0.0015552463
"1314","2010",0.00055564515
"1315","2016",0.0011382969
"1316","2002",0.0010673156
"1324","1975",0.018379197
"1325","1979",0.015060723
"1327","1980",0.020212969
"1329","1985",0.019277366
"1331","1986",0.025689002
"1333","1986",0.019922344
"1334","1986",0.011946576
"1335","1987",0.014431765
"1336","2014",0.0064138738
"1340","2021",6.0583978e-05
"1344","1976",0.032736335
"1361","1992",0.0030269078
"1362","1992",0.0046884585
"1363","2002",0.001520353
"1364","2002",0.001520353
"1365","2015",0.00045073414
"1366","2017",0.0011440457
"1367","2019",0.0058961706
"1368","2019",0.0034273542
"1369","2011",0.004120883
"1370","2015",0.006104776
"1380","1978",0.005072421
"1385","1978",0.009352312
"1387","1980",0.0026937805
"1389","1986",0.0007685511
"1391","1980",0.0011638823
"1392","1981",0.0010869573
"1393","1988",0.0069191167
"1394","1990",0.0016707083
"1395","1997",0.0016907568
"1396","1999",0.0037050527
"1397","2006",0.0012684269
"1398","2007",0.0010419925
"1399","2017",0.0042764647
